<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BTSX.BTC/USD,60,20210105,030000,31379.4400000,32054.2400000,31168.9800000,32005.8800000,337
BTSX.BTC/USD,60,20210105,040000,32054.2300000,32874.3900000,32047.6800000,32489.9900000,512
BTSX.BTC/USD,60,20210105,050000,32468.9200000,32825.0000000,32285.7300000,32811.7500000,215
BTSX.BTC/USD,60,20210105,060000,32824.7500000,32850.0000000,32281.8900000,32346.9700000,230
BTSX.BTC/USD,60,20210105,070000,32361.5100000,32578.3500000,31182.1600000,31183.8300000,517
BTSX.BTC/USD,60,20210105,080000,31188.5800000,31558.3700000,30450.0000000,30882.1600000,676
BTSX.BTC/USD,60,20210105,090000,30866.0900000,31369.7000000,30044.1600000,30428.9200000,612
BTSX.BTC/USD,60,20210105,100000,30456.1100000,31294.5500000,29936.2600000,31140.4100000,597
BTSX.BTC/USD,60,20210105,110000,31158.0900000,31332.1000000,30773.5000000,30838.5300000,296
BTSX.BTC/USD,60,20210105,120000,30820.6600000,31551.0200000,30820.6600000,31200.3400000,354
BTSX.BTC/USD,60,20210105,130000,31201.9100000,31810.0000000,31198.1300000,31573.1300000,232
BTSX.BTC/USD,60,20210105,140000,31588.5900000,31698.8400000,31126.6500000,31353.3300000,200
BTSX.BTC/USD,60,20210105,150000,31376.6300000,31817.0000000,31306.1700000,31810.5800000,240
BTSX.BTC/USD,60,20210105,160000,31820.0000000,32093.9400000,31609.4200000,31636.1700000,369
BTSX.BTC/USD,60,20210105,170000,31639.1200000,31939.1200000,31479.4200000,31498.0000000,215
BTSX.BTC/USD,60,20210105,180000,31551.6600000,32424.1500000,31153.2400000,32375.6200000,483
BTSX.BTC/USD,60,20210105,190000,32418.5900000,32440.9800000,31977.4700000,32156.5800000,359
BTSX.BTC/USD,60,20210105,200000,32169.7800000,32749.8900000,31830.8900000,32535.2600000,406
BTSX.BTC/USD,60,20210105,210000,32552.4400000,32899.8000000,32324.4700000,32828.6500000,347
BTSX.BTC/USD,60,20210105,220000,32825.8200000,33518.7700000,32737.9700000,33467.6800000,618
BTSX.BTC/USD,60,20210105,230000,33499.9900000,34297.3100000,33220.0000000,33809.1700000,934
BTSX.BTC/USD,60,20210106,000000,33791.1100000,34131.6800000,33468.4600000,34085.7100000,826
BTSX.BTC/USD,60,20210106,010000,34053.0600000,34100.0000000,33589.1000000,33801.2400000,384
BTSX.BTC/USD,60,20210106,020000,33820.3600000,34500.0000000,33812.6800000,34290.5200000,314
BTSX.BTC/USD,60,20210106,030000,34317.8400000,34396.9000000,33791.1100000,34039.0500000,323
BTSX.BTC/USD,60,20210106,040000,34081.2400000,34198.8000000,33348.2700000,33976.4100000,531
BTSX.BTC/USD,60,20210106,050000,33993.7300000,34068.4300000,33580.6900000,33864.1400000,260
BTSX.BTC/USD,60,20210106,060000,33887.3700000,34194.8700000,33863.9400000,33965.7200000,414
BTSX.BTC/USD,60,20210106,070000,33965.8600000,34239.8400000,33750.0000000,34222.3900000,180
BTSX.BTC/USD,60,20210106,080000,34209.2700000,35879.3500000,34202.1200000,35458.5000000,1308
BTSX.BTC/USD,60,20210106,090000,35488.6400000,35707.6400000,34652.9500000,35124.2000000,665
BTSX.BTC/USD,60,20210106,100000,35099.9200000,35366.6900000,34907.8200000,35282.5600000,269
BTSX.BTC/USD,60,20210106,110000,35259.0600000,35400.0000000,34487.1100000,34808.7200000,322
BTSX.BTC/USD,60,20210106,120000,34792.2600000,35054.2900000,34081.4700000,34671.7300000,918
BTSX.BTC/USD,60,20210106,130000,34674.4500000,34674.4500000,33710.1600000,34000.0000000,743
BTSX.BTC/USD,60,20210106,140000,33993.2400000,34652.9500000,33934.6100000,34534.8300000,387
BTSX.BTC/USD,60,20210106,150000,34521.2200000,35366.6900000,34446.2600000,35040.8100000,612
BTSX.BTC/USD,60,20210106,160000,35040.8100000,35178.2100000,34537.6400000,35024.1100000,341
BTSX.BTC/USD,60,20210106,170000,35037.6500000,35183.9200000,34227.6700000,34666.8600000,541
BTSX.BTC/USD,60,20210106,180000,34662.6300000,34736.1600000,34174.1100000,34344.6600000,534
BTSX.BTC/USD,60,20210106,190000,34321.7200000,34911.5500000,34269.5200000,34664.9300000,543
BTSX.BTC/USD,60,20210106,200000,34672.6900000,35155.2500000,34457.1600000,34697.2400000,692
BTSX.BTC/USD,60,20210106,210000,34700.0000000,35195.5700000,34645.7000000,35021.8400000,388
BTSX.BTC/USD,60,20210106,220000,35050.9700000,35366.6900000,35049.4700000,35347.6400000,380
BTSX.BTC/USD,60,20210106,230000,35347.6300000,35850.0000000,34781.7300000,34933.5700000,798
BTSX.BTC/USD,60,20210107,000000,34971.3400000,36355.8100000,34341.0000000,36112.6200000,1506
BTSX.BTC/USD,60,20210107,010000,36150.0000000,36574.4700000,35750.4900000,35960.1900000,748
BTSX.BTC/USD,60,20210107,020000,35951.6500000,36475.7400000,35773.9500000,36094.9600000,261
BTSX.BTC/USD,60,20210107,030000,36070.7400000,37050.8300000,36054.1700000,36849.9400000,586
BTSX.BTC/USD,60,20210107,040000,36875.9600000,37400.0000000,36493.3700000,37247.7700000,1230
BTSX.BTC/USD,60,20210107,050000,37250.0000000,37320.4500000,36745.3600000,36968.8200000,477
BTSX.BTC/USD,60,20210107,060000,36993.8600000,37175.4200000,36530.6300000,37069.1200000,377
BTSX.BTC/USD,60,20210107,070000,37049.1100000,37785.0400000,37045.4400000,37560.1800000,309
BTSX.BTC/USD,60,20210107,080000,37560.2500000,37687.6500000,37193.7300000,37571.2000000,269
BTSX.BTC/USD,60,20210107,090000,37597.3600000,37800.0000000,37283.0500000,37495.5500000,218
BTSX.BTC/USD,60,20210107,100000,37495.5400000,37603.7300000,36850.1100000,37245.0700000,254
BTSX.BTC/USD,60,20210107,110000,37257.7900000,37380.6900000,36778.9800000,36909.9000000,454
BTSX.BTC/USD,60,20210107,120000,36903.3500000,37392.0000000,36327.5000000,37246.7100000,766
BTSX.BTC/USD,60,20210107,130000,37247.3100000,37549.5100000,36940.0000000,37549.5100000,396
BTSX.BTC/USD,60,20210107,140000,37530.2200000,37543.6000000,36992.6000000,37090.6500000,247
BTSX.BTC/USD,60,20210107,150000,37106.8900000,37988.7000000,37106.8900000,37891.0400000,374
BTSX.BTC/USD,60,20210107,160000,37891.0400000,38188.1200000,37589.4600000,38025.0000000,559
BTSX.BTC/USD,60,20210107,170000,38025.0000000,38510.0600000,37986.1800000,38218.9600000,827
BTSX.BTC/USD,60,20210107,180000,38226.3300000,38655.0000000,38160.4500000,38504.4600000,655
BTSX.BTC/USD,60,20210107,190000,38524.9000000,39000.0000000,38142.3800000,39000.0000000,540
BTSX.BTC/USD,60,20210107,200000,39000.0000000,39631.4400000,38961.8200000,39142.1700000,1137
BTSX.BTC/USD,60,20210107,210000,39142.1700000,39825.1800000,39118.6500000,39801.0100000,721
BTSX.BTC/USD,60,20210107,220000,39802.8000000,40402.4600000,36388.0000000,38938.3500000,3579
BTSX.BTC/USD,60,20210107,230000,38907.5400000,39253.4000000,37488.0000000,39100.0000000,1252
BTSX.BTC/USD,60,20210108,000000,39100.0000000,39224.8700000,38400.0000000,39148.6600000,613
BTSX.BTC/USD,60,20210108,010000,39136.1400000,39950.0000000,39079.3700000,39724.2500000,728
BTSX.BTC/USD,60,20210108,020000,39723.5300000,39995.5100000,39201.0000000,39719.2500000,293
BTSX.BTC/USD,60,20210108,030000,39700.1100000,39734.3200000,38602.5400000,39510.4900000,464
BTSX.BTC/USD,60,20210108,040000,39510.5900000,39754.8200000,38850.0000000,38850.0000000,251
BTSX.BTC/USD,60,20210108,050000,38868.3600000,39068.2800000,37868.8700000,38697.9200000,498
BTSX.BTC/USD,60,20210108,060000,38726.0800000,38726.0800000,36618.3600000,37207.6900000,1061
BTSX.BTC/USD,60,20210108,070000,37193.7300000,38510.0600000,37106.7300000,38419.2800000,326
BTSX.BTC/USD,60,20210108,080000,38395.6600000,38960.0000000,38231.4900000,38735.8000000,216
BTSX.BTC/USD,60,20210108,090000,38742.5400000,38742.5400000,37926.2800000,37988.7800000,164
BTSX.BTC/USD,60,20210108,100000,37990.7100000,38695.2400000,37575.0000000,38575.1700000,207
BTSX.BTC/USD,60,20210108,110000,38585.6300000,39151.0000000,38303.6000000,38978.5600000,313
BTSX.BTC/USD,60,20210108,120000,38952.0900000,39028.0500000,38443.5500000,38666.8900000,185
BTSX.BTC/USD,60,20210108,130000,38693.3700000,39397.6200000,38269.7000000,39397.6200000,520
BTSX.BTC/USD,60,20210108,140000,39396.2200000,41095.5100000,39263.0800000,40727.5200000,1290
BTSX.BTC/USD,60,20210108,150000,40758.2400000,41530.0000000,40475.7000000,41337.9600000,736
BTSX.BTC/USD,60,20210108,160000,41335.8900000,41802.8400000,40938.9800000,41356.3700000,519
BTSX.BTC/USD,60,20210108,170000,41375.1900000,41682.1100000,40745.6400000,41381.2300000,552
BTSX.BTC/USD,60,20210108,180000,41354.6100000,41670.4000000,40987.8900000,41522.5600000,713
BTSX.BTC/USD,60,20210108,190000,41506.2400000,42000.0000000,39840.0000000,40901.2700000,1733
BTSX.BTC/USD,60,20210108,200000,40923.2400000,41661.0500000,40402.4600000,41360.0000000,625
BTSX.BTC/USD,60,20210108,210000,41386.9500000,41600.0000000,40907.8800000,41044.0300000,239
BTSX.BTC/USD,60,20210108,220000,41025.8500000,41197.3700000,39825.1800000,39948.9800000,940
BTSX.BTC/USD,60,20210108,230000,39938.3200000,40694.2300000,39938.3200000,40376.7000000,333
BTSX.BTC/USD,60,20210109,000000,40349.0100000,40499.4800000,38927.9700000,39084.6600000,1336
BTSX.BTC/USD,60,20210109,010000,39069.3500000,40085.2100000,38677.2200000,40030.4800000,998
BTSX.BTC/USD,60,20210109,020000,40030.4800000,40800.0000000,39772.3300000,40715.0000000,472
BTSX.BTC/USD,60,20210109,030000,40715.0000000,40988.1100000,40486.0700000,40667.0700000,619
BTSX.BTC/USD,60,20210109,040000,40682.7600000,41008.8100000,40024.0800000,40342.3300000,296
BTSX.BTC/USD,60,20210109,050000,40312.3200000,40345.1400000,39727.9200000,40211.8700000,444
BTSX.BTC/USD,60,20210109,060000,40220.0000000,40588.7000000,39500.0000000,39995.7300000,636
BTSX.BTC/USD,60,20210109,070000,39985.5000000,40396.4000000,39726.7000000,40252.2100000,143
BTSX.BTC/USD,60,20210109,080000,40252.2100000,40510.5800000,39867.4800000,40243.8600000,108
BTSX.BTC/USD,60,20210109,090000,40224.0600000,40224.0600000,39200.0000000,39350.0000000,179
BTSX.BTC/USD,60,20210109,100000,39317.2700000,39673.9500000,38927.9700000,39003.3700000,273
BTSX.BTC/USD,60,20210109,110000,39020.0000000,39729.7700000,38788.1600000,39651.5600000,175
BTSX.BTC/USD,60,20210109,120000,39680.3200000,40354.0400000,39342.1800000,40227.4700000,400
BTSX.BTC/USD,60,20210109,130000,40239.1100000,40825.5900000,40230.6100000,40350.8000000,209
BTSX.BTC/USD,60,20210109,140000,40368.4000000,40800.0000000,40160.9200000,40404.4000000,110
BTSX.BTC/USD,60,20210109,150000,40426.4700000,41270.6600000,40305.6700000,40625.2600000,311
